Project Name (Eng),Project Name (Chi),Project Address,District,Project Type,Owner / Developer Name,BEAM Pro,Tool,Current Status,Year,Validity,Green Build Cert Label No,Online exhibition,Outstanding Performance in ES Cat
One South Lane,南里壹號,"No. 1 South Lane, Kennedy Town, Hong Kong",HK - Central & Western,Residential,Both Talent Limited (Chinese Estates Holdings Limited),"SIU Chi Wai, Dicky",NB V1.1,Final Bronze,2017,Expired,,,
One Stanley,N/A,"128 Wong Ma Kok Road, Hong Kong",HK - Southern,Residential,K Wise Limited,"WONG Man Sze, Wency",NB V1.2,Provisional Unclassified,2019,Valid,PAU0092/23,,
One Taikoo Place,太古坊一座,"Taikoo Place, 979 King’s Road, Quarry Bay, Hong Kong",HK - Eastern,Commercial,Taikoo Place Holdings Ltd,Chow Kwan Nga Christy,NB V1.2,Final Platinum,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/211,
One Victoria,維港1號,"21 Shing Fung Road, Kai Tak, Kowloon",KLN - Kowloon City,Residential,,SZETO Chun Tak,NB V1.2,Final Gold,2023,Valid,PAG0084/20; FAG0024/23,,
"One Vista Summit, No. 3 San Hop Lane, Tuen Mun",滙賢一號·雋峰,"No. 3 San Hop Lane, Tuen Mun, N.T, Hong Kong",NT - Tuen Mun,Commercial,"Queenston Investment Limited, Great Time International Limited, Healthy Longevity Limited, Easytex Enterprises Limited, Dawin Investment Limited, Star Happy Limited, Mega East Development Limited","Chan Ka Yee, Zoe",NB V1.1,Final Unclassified,2020,Valid,,,
One Wood Road,Nil,No.1 Wood Road,HK - Wan Chai,Residential,Wood One Keeprich Limited,"CHAN Chi Keung, Peter",NB V1.2,Provisional Silver,2022,Valid,PAS0046/24,,
"One, Two & Three Exchange Square and The Forum",交易廣塲第一、第二、第三座及富臨閣,"8 Connaught Place, Central, Hong Kong",HK - Central & Western,Commercial,Hongkong Land Limited,"Ms KWOK May Han, Grace",EB V2.0 Comp. A,Final Platinum,2019,Expired,,,
"One, Two & Three Exchange Square and The Forum",交易廣塲第一、第二、第三座及富臨閣,"8 Connaught Place, Hong Kong",HK - Central & Western,Commercial,The Hongkong Land Limited,"Ms May Han, Grace KWOK",EB V2.0 Comp. A,Final Platinum,2024,Valid,,,
ONE‧ARTLANE,藝里坊‧1號,8 Chung Ching Street,HK - Central & Western,Residential,Camluck Development Limited,CHEN Yifang,NB V1.2,Final Silver,2023,Valid,PAU0028/18; FAS0016/23,,
"ONMANTIN Phase IIA , ONMANTIN Phase IIB","朗賢峯第IIA期, 朗賢峯第IIB期","Site A1, KIL 11264, Ho Man Tin, Kowloon",KLN - Kowloon City,Residential,Magic Energy Limited,Wing Man Lui,NB V1.2,Provisional Gold,2019,Valid,PAG0134/23,,
ONTOLO,朗濤,No. 7 Fo Yin Road,NT - Tai Po,Residential,Ease Treasure Investment Limited,"Ming Wai, Candy HUI",NB V1.2,Final Gold,2021,Valid,FAG0015/21; PAG0053/19,https://greenbuilding.hkgbc.org.hk/projects/view/402,
"Open Space with Public Vehicle Park at Yen Chow Street West, Sham Sui Po",深水埗欽州街西休憩用地及公眾停車場,"Government Land at the Junction of Yen Chow Street West and Tung Chau Street, Sham Shui Po, Kowloon",KLN - Sham Shui Po,Government Institutional and Community,"Architectural Services Department, HKSAR",Ir. Frank Cheung,NB V2.0,Registered,2024,Valid,,,
"OPEN SPACE WITH PUBLIC VEHICLES PARK AT TO WAH ROAD, WEST KOWLOON",,"TO WAH ROAD, WEST KOWLOON",KLN - Yau Tsim Mong,Government Institutional and Community,Architectural Services Department of the Government of the Hong Kong Special Administrative Region,Lo Lam,NB V2.0,Registered,2024,Valid,,,
Ori,豐連,3 Leung Tak Street （T.M.T.L. No. 508 ）,NT - Tuen Mun,Mixed Use,Enormous Asset Limited,Lo Lam,NB V1.2,Final Unclassified,2019,Expired,PAU0005/16,,
Ori,豐連,"3 Leung Tak Street , Tuen Mun",NT - Tuen Mun,Residential,N/A,TANG Siu Tung,EB V2.0 Sel. MAN,Good,2021,Valid,,,
ORIA,傲華,"Nos.121-131 Shau Kei Wan Main Street East, Hong Kong",HK - Eastern,Mixed Use,China Vision Engineering Limited,Yim Kam Wai,NB V1.2,Provisional Unclassified,2022,Valid,PAU0081/22,,
ORRC,有機資源回收中心第1期,"5 Sham Fung Road, Siu Ho Wan, North Lantau, N.T., Hong Kong",NT - Islands,Government Institutional and Community,"Environmental Protection Department, HKSAR Government","KWOK May Han, Grace",NB V1.2,Final Platinum,2022,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1326,
Oscar By The Sea,清水灣半島,"8 Pung Loi Road, Tseung Kwan O",NT - Sai Kung,Residential,Hong Yip Service Company Limited,Au Tat Kay,EB V2.0 Sel. MAN,Good,2022,Valid,,,
Oxford House,濠豐大廈,"Taikoo Place, 979 King’s Road, Quarry Bay, Hong Kong",HK - Eastern,Commercial,Swire Properties Limited,POON Ka Man,EB V2.0 Comp. A,Final Platinum,2023,Valid,,,
Oxford House,濠豐大廈,"Taikoo Place, 979 King's Road, Quarry Bay, Hong Kong",HK - Eastern,Commercial,Swire Properties Limited,LEE Siu Yee,EB V2.0 Comp. A,Final Platinum,2018,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/141,
Oyster Bay Station,小蠔灣站,"Oyster Bay Station, Cheung Tung Road, Tung Chung, Lantau Island, New Territories, Hong Kong",NT - Islands,Others,MTR Corporation Limited,Ip Wing Laam,NB V2.0,Provisional Gold,2023,Valid,,,
Pacific Place,太古廣場,"88 Queensway, Hong Kong",HK - Central & Western,Commercial,Swire Properties Limited,Mr. Karl Wong,EB V2.0 Comp. A,Final Platinum,2022,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1325,
Pacific Plaza,太平洋廣場,"410 Des Voeux Road West, Western District",HK - Central & Western,Commercial,Will Glory Company (CI) Limited,Jason Tse,EB V2.0 Comp. A,Registered,2023,Valid,,,
"Pak Tin Estate (Phase 7,8 & 11)","白田邨(7期, 8期 & 11期)","Pak Tin Estate Phases 7, 8 & 11, Pak Tin Estate, 51 Pak Tin Street, Shek Kip Mei, Kowloon",KLN - Sham Shui Po,Mixed Use,Hong Kong Housing Authority,Mr Lam Lo,NB V1.2,Provisional Gold,2020,Valid,,,
Pallas,珀曜,"Lot738 in DD332, South Lantau Road, Hong Kong",NT - Islands,Residential,Huge Choice Group Limited,Wei Jiang,NB V1.2,Provisional Bronze,2021,Valid,PAB0046/24,,
Paloma Bay,雍澄灣,"18 Peng Lei Road, Peng Chau, Hong Kong",NT - Islands,Residential,Fortune Glory Investments Limited,Ma Yee Ling,NB V1.1,Final Bronze,2017,Expired,,,
Paloma Cove,雍澄海岸,"8 Peng Chau Ho King Street, Peng Chau, NT, Hong Kong",NT - Islands,Residential,Smart Champion (Hong Kong) Limited,Ma Yee Ling,NB V1.2,Final Bronze,2018,Expired,,,
"Pan Asia Centre, KTIL 419 No. 137 Wai Yip Street, Kwun Tong","泛亞中心, 九龍觀塘區觀塘偉業街137號","KTIL 419, No. 137, Wai Yip Street, Kwun Tong, Hong Kong",KLN - Kwun Tong,Commercial,Triumph One Limited,LEUNG Chi Fung,NB V1.1,Final Unclassified,2021,Valid,,,
Panda Hotel,悅來酒店,"3 Tsuen Wah Street , Tsuen Wan, N.T., T.W.T.L. 312",NT - Tsuen Wan,Mixed Use,Kowloon Panda Hotel Limited,N/A,NB V1.1,Registered,2011,Valid,,,
Pano Harbour,澐璟,"Kai Tak Area 4C Site 1, Kai Tak, Kowloon, Hong Kong",KLN - Kowloon City,Mixed Use,Fame Well Creation Limited,POON Ka Man,NB V1.2,Provisional Gold,2021,Valid,PAG0100/22,,
Parc City / Nina Mall 2,全。城滙 / 如心廣場2,"98 Tai Ho Road, Tsuen Wan",NT - Tsuen Wan,Mixed Use,Denny Investment Limited (Chinachem Group),FAN Hok Man,NB V1.1,Final Gold,2019,Expired,PAG0023/16,,
Parc Inverness,賢文禮士,"Parc Inverness, 38 Inverness Road, Kowloon Tong, Kowloon, Hong Kong",KLN - Kowloon City,Residential,Chinachem Group,"CHEUNG Wai Hin, Andy",NB V1.1,Final Gold,2018,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/115,
Park Central (Residential),將軍澳中心 (住宅),"9 Tong Tak Street, Tseung Kwan O, New Territories",NT - Sai Kung,Residential,,Mr Au Tat Kay,EB V2.0 Sel. MAN,Good,2020,Valid,,,
Park Central (S. A.),將軍澳中心 (商場),"9 Tong Tak Street, Tseung Kwan O",NT - Sai Kung,Commercial,,Mr Au Tat Kay,EB V2.0 Sel. MAN,Excellent,2021,Valid,,,
Park Central (Shopping Arcade),將軍澳中心 (商場),"9 Tong Tak Street, Tseung Kwan O",NT - Sai Kung,Commercial,Hong Yip Service Co Ltd,Chan Nai Kin,EB V2.0 Sel. EU,Good,2024,Valid,,,
Park Island (Commercial),珀麗灣 (商場),"No.8 Pak Lai Road, Ma Wan",NT - Tsuen Wan,Commercial,N/A,N/A,EB V2.0 Sel. MAN,Excellent,2024,Valid,,,
Park Ivy,奧朗‧御峯,"37 Pine Street, 35 Fuk Tsun Street, 8 Ivy Street (K.I.L. 11200)",KLN - Yau Tsim Mong,Residential,Star Talent Development Limited,Ma Yee Ling,NB V1.1,Final Gold,2019,Expired,PAG0001/13,,
Park Mediterranean,逸瓏海匯,9 Hong Tsuen Road,NT - Sai Kung,Residential,World Talent (Hong Kong) Ltd,Wong Man Sze,NB V1.2,Final Bronze,2019,Expired,PAB0016/16,,
Park One,南昌一號,1 Nam Cheong Street,KLN - Sham Shui Po,Mixed Use,New Eagle Development Limited,Fredrick Leong,NB V1.1,Final Silver,2020,Valid,,,
Park Reach,尚悅．方,"33 Shap Pat Heung Road, Yuen Long, New Territories Yuen Long Town Lot No. 527, Tai Tong, Yuen Long, New Territories",NT - Yuen Long,Mixed Use,Waygent Investment Ltd.; Gainbo Ltd.; Magic Sign Ltd.; Onfine Development Ltd.,FAN Hok Man,NB V1.2,Final Unclassified,2020,Valid,PAU0021/17,,
Park Signature,溱柏 & The Green Atrium,No. 68 Kung Um Road,NT - Yuen Long,Residential,Gracejoy Investment Limited,"Kong LI, CHAN Kwok Leung",NB V1.1,Final Gold,2016,Expired,,,
PARK YOHO,峻巒,"18 Castle Peak Rd Tam Mi , Kam Tin North",NT - Yuen Long,Residential,Bright Strong Limited,Kaixin Xu,NB V1.1,Final Bronze,2020,Expired,FAB0007/21; PAU0032/18; PAU0031/18; PAU0030/18,,
Parker33,柏匯,"Nos. 19 - 35 Shing On Street, Sai Wan Ho, Hong Kong",HK - Eastern,Residential,Asia Cheer International Limited,"CHEN Yifang, Eva",NB V1.1,Final Bronze,2020,Valid,PAG0012/15,,
Parkwood,迎林,"No. 3 Mei Sun Lane, Tai Po",NT - Tai Po,Residential,Century Star Investment Limited,POON Ka Man,NB V2.0,Registered,2020,Valid,REG0019/23,,
Patina Wellness,蔚盈軒,"18 Junction Road, Kowloon City, Kowloon, Hong Kong",KLN - Kowloon City,Mixed Use,Everhost Limited,MAN Yat Wai,NB V1.1,Final Bronze,2018,Expired,,,
"Paul Y Centre at 51 Hung To Road, Kwun Tong, Kowloon, Hong Kong",,"51 Hung To Road, Kwun Tong, Kowloon, Hong Kong",KLN - Kwun Tong,Commercial,Cycle Company Limited / Gunnell Properties Limited,"MAK Kei Choi, Henry",NB V1.2,Provisional Unclassified,2017,Expired,,,
Peak Castle,珀居,"Tuen Mun Town Lot 436, Siu Lam, Tuen Mun",NT - Tuen Mun,Residential,Billion Ideal Limited,SUNG Siu Wai,NB V1.1,Provisional Bronze,2013,Expired,PAB0023/17,,
Peak Galleria,山頂廣場,"Peak Galleria, 118 Peak Road, Hong Kong",HK - Central & Western,Commercial,Stooket Limited,MAK Kei Choi (Henry),EB V2.0 Comp. B,Final Platinum,2024,Valid,,,
Pending,Pending,"No. 5 Tung Yuen Street, Yau Tong",KLN - Kwun Tong,Residential,Korn Reach Investment Limited,Wing Man Lui,NB V1.2,Provisional Unclassified,2021,Valid,PAU0082/23,,
Pending,Pending,"No. 8 Tung Yuen Street, Yau Tong, Hong Kong",KLN - Kwun Tong,Residential,Korn Reach Investment Limited,Wing Man Lui,NB V1.2,Provisional Unclassified,2021,Valid,PAU0083/23,,
Peninsula Tower,半島大廈,"538 Castle Peak Road, Cheung Sha Wan",KLN - Sham Shui Po,Industrial,,Mr Au Tat Kay,EB V2.0 Sel. MAN,Good,2020,Valid,,,
Phase 1 Redevelopment of Ming Wah Dai Ha,明華大廈第一期重建計劃,"1 A Kung Ngam Road, Hong Kong",HK - Eastern,Mixed Use,Hong Kong Housing Society,LEE Kin Pong Desmond,NB V1.2,Final Silver,2023,Valid,,,
Phase 2 Redevelopment of Ming Wah Dai Ha,明華大廈二期重建項目,"Nos.1 -25 A Kung Ngam Road, Shau Kei Wan, Hong Kong",HK - Eastern,Residential,Hong Kong Housing Society,Kaixin Xu,NB V1.2,Registered,2020,Valid,,,
Phase 3 of Park Yoho Development,峻巒發展項目第3期,"18 Castle Peak Road Tam Mi, Kam Tin North, Yuen Long",NT - Yuen Long,Residential,Bright Strong Limited,"Chan Ka Yee, Zoe",NB V1.1,Final Bronze,2024,Valid,PFAB0003/18; PFAB0002/18; PFAB0001/18; FAB0015/24,,
Phase 3 of Park Yoho Development,峻巒發展項目第3期,"18 Castle Peak Road Tam Mi, Kam Tin North, Yuen Long",NT - Yuen Long,Residential,Bright Strong Limited,Kaixin Xu,NB V1.1,Final Bronze,2024,Valid,PFAB0003/18; PFAB0002/18; PFAB0001/18; FAB0015/24,,
Phase 3 Redevelopment of Ming Wah Dai Ha,明華大廈三期重建項目,"Nos.1 -25 A Kung Ngam Road, Shau Kei Wan, Hong Kong",HK - Eastern,Residential,Hong Kong Housing Society,Lo Lam,NB V1.2,Registered,2020,Valid,,,
Phase ll of Park Villa: PARK HILLCREST,柏巒第二期：柏逸,"108 Tong Yan San Tsuen Road, Yuen Long, New Territories",NT - Yuen Long,Residential,Realray Investments Limited,JIANG Wei,NB V1.1,Final Silver,2019,Expired,PAS0013/17,,
"Phased Development At 65-75 Lion Rock Road, Kowloon",,65 – 75 Lion Rock Road,KLN - Kowloon City,Mixed Use,Perfect Horizon Limited,"PANG Wai Ying, Sandra",NB V2.0,Registered,2022,Valid,,,
Phoenext,薈鳴,28 Ming Fung Street,KLN - Wong Tai Sin,Mixed Use,Joint Hope Limited,LIN YU,NB V1.2,Provisional Unclassified,2023,Valid,REG0014/23; PAU0095/24,,
Ping Tin Shopping Centre,平田商場,"23 On Tin Street,Lam Tin,Kowloon",KLN - Kwun Tong,Commercial,LINK REIT,,EB V2.0 Sel. MAN,Good,2021,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/318,
Ping Yan Court,屏欣苑,"65 Ping Ha Road, Ping Shan, Yuen Long, New Territories, Hong Kong",NT - Yuen Long,Mixed Use,Hong Kong Housing Authority,Ms Ming Wai Hui,NB V1.2,Final Gold,2020,Valid,PAG0022/16,https://greenbuilding.hkgbc.org.hk/projects/view/247,
Pioneer Church of Seventh-day Adventists Redevelopment Project & Hong Kong-Macao Conference of Seventh-day Adventists Residential Care Home and Senior Hostel Development Project,基督復臨安息日會先導紀念堂重建項目及基督復臨安息日會港澳區會安老院舍及長者公寓發展項目,"17A & B Ventris Road, Hong Kong",HK - Wan Chai,Others,Hong Kong-Macao Conference of Seventh-Day Adventists,Wong Man Sze,NB V1.2,Provisional Silver,2023,Valid,,,
Pioneer Place Wholesale Conversion of Pioneer Industrial Building,建生廣場活化建生工業大廈計劃,"33 Hoi Yuen Road, Kwun Tong, Kowloon, Hong Kong",KLN - Kwun Tong,Commercial,Pioneer Estates Limited,SZETO Chun Tak,NB V1.1,Final Bronze,2018,Expired,,,
PLAZA 228,/,"228 Wan Chai Road, Wan chai, Hong Kong",HK - Wan Chai,Commercial,Alliance Fame Limited,LIN YU,NB V1.2,Final Silver,2024,Valid,,,
Pneumoconiosis Compensation Fund Board Office,肺塵埃沉着病補償基金委員會辦公室,"15/F, Nam Wo Hong Building, 148 Wing Lok Street, Sheung Wan, H.K.",HK - Central & Western,Work Space,Pneumoconiosis Compensation Fund Board,Warner Li,BI V2.0,Registered,2024,Valid,,,
Po Lam Shopping Centre,寶林商場,"18 Po Lam Road North, Tseung Kwan O, New Territories",NT - Sai Kung,Commercial,Link Asset Management Limited,,EB V2.0 Sel. MAN,Good,2023,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1389,
Po Leung Kuk C. W. Chu College,保良局朱敬文中學,"1 Tin Sam Street, Lung Hang Estate, Tai Wai, Shatin, New Territories",NT - Sha Tin,Aided,Po Leung Kuk C. W. Chu College,CHAN Tsz Ying,ES V1.0,Green,2023,Valid,,,SCE
Po Leung Kuk Camões Tan Siu Lin Primary School,保良局陳守仁小學,"6 Hoi Ting Road, Yau Ma Tei, Kowloon",KLN - Yau Tsim Mong,Directly subsided,Po Leung Kuk Camões Tan Siu Lin Primary School,CHAN Tsz Ying,ES V1.0,Green,2023,Valid,,,SCE
Po Leung Kuk Dr. Jimmy Wong Chi-Ho (Tin Sum Valley) Primary School,保良局王賜豪（田心谷）小學,"Area 2A, Lung Hang Estate, Sha Tin, New Territories",NT - Sha Tin,Aided,Po Leung Kuk Dr. Jimmy Wong Chi-Ho (Tin Sum Valley) Primary School,CHAN Tsz Ying,ES V1.0,Green,2023,Valid,,,"SLL, SCE"
Po Leung Kuk Fong Wong Kam Chuen Primary School,保良局方王錦全小學,"Leung King Estate No 3, Tuen Mun, New Territories",NT - Tuen Mun,Aided,Po Leung Kuk Fong Wong Kam Chuen Primary School,CHAN Tsz Ying,ES V1.0,Green,2023,Valid,,,"SLL, SCE"
Po Leung Kuk Lee Shing Pik College,保良局李城璧中學,"12-20 On Yin ST, Tsuen King Circuit, Chai Wan Kok West, Tsuen Wan, New Territories",NT - Tsuen Wan,Aided,Po Leung Kuk Lee Shing Pik College,CHAN Tsz Ying,ES V1.0,Green,2023,Valid,,,
Po Leung Kuk Luk Hing Too Primary School,保良局陸慶濤小學,"Po Lam Estate, Tseung Kwan O, New Territories",NT - Sai Kung,Directly subsided,Po Leung Kuk Luk Hing Too Primary School,CHAN Tsz Ying,ES V1.0,Green,2023,Valid,,,SCE
Po Leung Kuk Stanley Ho Sau Nan Primary School,保良局何壽南小學,"11 Muk Hung Street, Kowloon Bay",KLN - Kowloon City,Government Institutional and Community,"Architectural Services Department, HKSAR Government","CHAN Kwok Leung, CHEN Yifang",NB V1.1,Final Gold,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/218,
Po Leung Kuk Tong Nai Kan Junior Secondary College,保良局唐乃勤初中書院,"11 Mei Lai Road, Sham Shui Po, Kowloon",KLN - Sham Shui Po,Aided,Po Leung Kuk Tong Nai Kan Junior Secondary College,CHAN Tsz Ying,ES V1.0,Green,2023,Valid,,,SCE
PO LEUNG KUK WONG CHUK HANG SERVICE FOR THE ELDERLY,,"1 Wong Chuk Hang Path, Aberdeen",HK - Southern,Others,Po Leung Kuk,LIN YU,NB V2.0,Registered,2024,Valid,,,
Po Leung Kuk Wu Chung College,保良局胡忠中學,"Heng On Estate, 1 Hang Kam Street, Ma On Shan, Shatin, New Territories",NT - Sha Tin,Aided,Po Leung Kuk Wu Chung College,CHAN Tsz Ying,ES V1.0,Green,2023,Valid,,,SCE
Po Shek Wu Estate,寶石湖邨,"21 - 23 Choi Yuen Road, Sheung Shui, Hong Kong",NT - North,Residential,Hong Kong Housing Authority,TY Fay,NB V1.2,Final Gold,2022,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/948,
Po Tat Shopping Centre,寶達商場,"2 Po Lam Road,Kwun Tong,Kowloon",KLN - Kwun Tong,Commercial,LINK REIT,,EB V2.0 Sel. MAN,Good,2021,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/328,
Police Officers' Club,警官會所,"28 Hung Hing Road, Causeway Bay, Hong Kong",HK - Wan Chai,Government Institutional and Community,HKSAR Government,Ms Yee Ting Wong,NB V1.2,Final Gold,2022,Valid,,,
Police Sports and Recreation Club Enhancement Works,警察體育遊樂會優化工程,"Police Sports and Recreation Club, 430 Sai Yeung Choi Street North, Kowloon, Hong Kong",KLN - Sham Shui Po,Government Institutional and Community,HKSAR Government,RICHARDSON Mark Andrew,NB V1.2,Final Gold,2016,Expired,,,
Pooi To Primary School,香港培道小學,"3 Fuk Cheung Street, Ma Tau Chung, Kowloon",KLN - Kowloon City,Private,Pooi To Primary School,CHAN Tsz Ying,ES V1.0,Green,2023,Valid,,,"SLL, SCE"
PopWalk 2,天晉滙二期,"PopWalk 2, 19 Tong Yin Street, Tseung Kwan O",NT - Sai Kung,Commercial,N/A,N/A,EB V2.0 Sel. MAN,Excellent,2024,Valid,,,
Port 33,,"33 Tseuk Luk Street, San Po Kong, Kowloon, Hong Kong",KLN - Wong Tai Sin,Commercial,Century Property Investment Limited,"KWOK May Han, Grace",NB V1.1,Final Gold,2020,Valid,,,
Port 33,爵祿街33號,"33 Tseuk Luk Street, San Po Kong",KLN - Wong Tai Sin,Commercial,,Mr Au Tat Kay,EB V2.0 Sel. MAN,Excellent,2021,Valid,,,
"Postgraduate Residence at No. 10 Ching Lin Terrace, The University of Hong Kong",香港大學研究生宿舍,"No. 10 Ching Lin Terrace, Kennedy Town, Hong Kong",HK - Central & Western,Residential,The University of Hong Kong,Leong Lai Shing,NB V1.1,Final Gold,2016,Expired,,,
PRINCE CENTRAL,九龍太子道西195號,"No. 195 Prince Edward Road West, Kowloon, Hong Kong",KLN - Yau Tsim Mong,Residential,Junie Limited,Fredrick Leong,NB V1.2,Final Bronze,2023,Valid,PAB0037/20; FAB0013/23,,
PRINCE PLAZA (EU),太子广场 (EU),"No.51 Taizi Road, Nanshan District, Shenzhen",PRC,Commercial,深圳招商房地产有限公司,,EB V2.1,Registered,2024,Valid,,,
PRINCE PLAZA (MAN),太子广场 (MAN),"No.51 Taizi Road, Nanshan District, Shenzhen",PRC,Commercial,深圳招商房地产有限公司,,EB V2.1,Registered,2024,Valid,,,
Prince’s Building,太子大廈,"10 Chater Road, Central, Hong Kong",HK - Central & Western,Commercial,Hongkong Land Limited,"Ms KWOK May Han, Grace",EB V2.0 Comp. A,Final Platinum,2019,Expired,,,
Prince’s Building,太子大廈,"10 Chater Road, Central, Hong Kong",HK - Central & Western,Commercial,Hongkong Land Limited,"Ms May Han, Grace KWOK",EB V2.0 Comp. A,Final Platinum,2024,Valid,,,
"Private Residence at 121 Dumbarton Road, Kowloon Tong",,"121 Dumbarton Road, Kowloon Tong, Kowloon",KLN - Kowloon City,Residential,Rich Guide Enterprises Ltd.,,NB V2.0,Registered,2022,Valid,,,
"Private Residence at 123 Dumbarton Road, Kowloon Tong",,"123 Dumbarton Road, Kowloon Tong, Kowloong",KLN - Kowloon City,Residential,Intelligent Investment Group Ltd.,,NB V2.0,Registered,2022,Valid,,,
Project Hiram,,Lot No.2195 in Demarcation District No.244,NT - Sai Kung,Residential,New Orient Development Limited,XU Kaixin,NB V2.0,Pre-requisites_Achieved,2023,Valid,,,
Project Kingston,,"Junction of Mei Ching Road and Container Port Road South, Kwai Chung, N.T.",NT - Kwai Tsing,Industrial,Sunrise Victory Limited,Dr. JIANG Wei,NB V2.0,Registered,2023,Valid,,,
Project R,,12 Repulse Bay Road,HK - Southern,Residential,Cheng Yu On Tong Enterprises Limited,,NB V2.0,Registered,2024,Valid,,,
"Proposed (Alteration and Additions) Works of 8 Hysan Avenue (Eton Tower) and 5 & 5A Hoi Ping Road (Apartment O), Hong Kong - I.L. 29 s.N and I.L. 29 s.F",,"8 Hysan Avenue (Eton Tower) and 5 & 5A Hoi Ping Road (Apartment O), Hong Kong",HK - Central & Western,Mixed Use,First Touch Holdings Ltd. & Landforce Investment Ltd.,N/A,NB V1.2,Registered,2018,Valid,,,
